İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,tramer,Fiyat
25271558,02 Mayıs 2024,Nissan,Navara,2.5 D 4x2 SE,2010,188.000 km,Otomatik,Dizel,Hard top,Siyah,2488 cc,144 hp,Arkadan İtiş,İkinci El,"9,9 lt",80 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,1840,710.000 TL
24036378,02 Mayıs 2024,Chevrolet,Captiva,2.0 D LT High,2010,245.000 km,Otomatik,Dizel,Crossover,Siyah,1991 cc,150 hp,4WD (Sürekli),,"8,7 lt",65 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,670.000 TL
25262578,02 Mayıs 2024,Chevrolet,Captiva,2.0 D LT Sport,2010,150.500 km,Otomatik,Dizel,Crossover,Beyaz,1991 cc,150 hp,4WD (Sürekli),İkinci El,"7,4 lt",65 lt,"1 değişen, 3 boyalı",,Sahibinden,,645.000 TL
24666421,02 Mayıs 2024,Nissan,Qashqai,1.6 Platinum,2010,153.000 km,Düz,Benzin,Crossover,Diğer,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,7 lt",65 lt,1 değişen,,Sahibinden,,700.000 TL
25261019,01 Mayıs 2024,Nissan,Qashqai,1.5 dCi Visia,2010,140.000 km,Düz,Dizel,Crossover,Bordo,1461 cc,106 hp,Önden Çekiş,İkinci El,"5,4 lt",65 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,689.750 TL
25257277,01 Mayıs 2024,Suzuki,Grand Vitara,1.9 DDiS JLX-AL,2010,188.000 km,Düz,Dizel,Crossover,Siyah,1870 cc,131 hp,4WD (Sürekli),İkinci El,"7,7 lt",66 lt,Belirtilmemiş,,Sahibinden,,765.000 TL
25255480,01 Mayıs 2024,Chevrolet,Captiva,2.0 D LT High,2010,69.000 km,Otomatik,Dizel,Crossover,Diğer,1991 cc,150 hp,4WD (Sürekli),İkinci El,"8,7 lt",65 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,,900.000 TL
25253916,01 Mayıs 2024,Nissan,Qashqai,1.6 Tekna,2010,200.000 km,Düz,LPG & Benzin,Crossover,Siyah,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,7 lt",65 lt,"1 değişen, 4 boyalı",Takasa Uygun,Sahibinden,31500,585.000 TL
24658435,01 Mayıs 2024,Chevrolet,Captiva,2.0 D LT High,2010,218.000 km,Yarı Otomatik,Dizel,Crossover,Siyah,1991 cc,150 hp,4WD (Sürekli),İkinci El,"7,4 lt",65 lt,1 değişen,Takasa Uygun,Sahibinden,1821,565.000 TL
24402815,01 Mayıs 2024,Honda,CR-V,2.0i Executive,2010,143.000 km,Otomatik,LPG & Benzin,Crossover,Füme,1997 cc,150 hp,4WD (Sürekli),İkinci El,"8,2 lt",58 lt,"1 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden,,964.000 TL
25123291,01 Mayıs 2024,Land Rover,Freelander,2.2 TD4 HSE,2010,160.000 km,Otomatik,Dizel,Crossover,Beyaz,2179 cc,160 hp,4WD (Sürekli),İkinci El,"8,5 lt",68 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,1.050.000 TL
25124409,01 Mayıs 2024,Chevrolet,Captiva,2.0 D LT High,2010,111.000 km,Otomatik,Dizel,Crossover,Siyah,1991 cc,150 hp,4WD (Sürekli),İkinci El,"8,7 lt",65 lt,4 boyalı,Takasa Uygun Değil,Galeriden,,699.950 TL
24538382,01 Mayıs 2024,Kia,Sorento,2.2 CRDi XM,2010,290.000 km,Otomatik,Dizel,Crossover,Gri,2199 cc,197 hp,4WD (Sürekli),İkinci El,"7,4 lt",70 lt,Belirtilmemiş,Takasa Uygun,Galeriden,3189,650.000 TL
25248142,30 Nisan 2024,Land Rover,Discovery,3.0 TDV6 SE,2010,426.000 km,Otomatik,Dizel,Crossover,Siyah,2993 cc,245 hp,4WD (Sürekli),İkinci El,"9,3 lt",82 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.180.000 TL
24597527,30 Nisan 2024,Volkswagen,Tiguan,1.4 TSI Sport&Style,2010,179.000 km,Düz,LPG & Benzin,Crossover,Gri (Gümüş),1390 cc,150 hp,4WD (Sürekli),İkinci El,8 lt,64 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,758.000 TL
24066244,30 Nisan 2024,Land Rover,Freelander,2.2 TD4 SE Plus,2010,245.000 km,Otomatik,Dizel,Crossover,Gri,2179 cc,160 hp,4WD (Sürekli),,"8,5 lt",68 lt,1 değişen,Takasa Uygun,Galeriden,,709.000 TL
25246797,30 Nisan 2024,BMW,X1,20d xDrive,2010,370.000 km,Otomatik,Dizel,Crossover,Siyah,1995 cc,177 hp,4WD (Sürekli),İkinci El,"6,2 lt",61 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,750.000 TL
24355483,30 Nisan 2024,Peugeot,3008,1.6 VTI Premium,2010,54.000 km,Düz,Benzin,Crossover,Siyah,1598 cc,122 hp,Önden Çekiş,İkinci El,"7,1 lt",60 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,675.000 TL
25243144,30 Nisan 2024,Dacia,Duster,1.5 dCi Laureate,2010,172.000 km,Düz,Dizel,Crossover,Şampanya,1461 cc,85 hp,Önden Çekiş,İkinci El,"5,1 lt",50 lt,Tamamı orjinal,,Sahibinden,,555.000 TL
23949504,30 Nisan 2024,Volkswagen,Tiguan,1.4 TSI Sport&Style,2010,280.000 km,Düz,LPG & Benzin,Crossover,Gri (Gümüş),1390 cc,150 hp,Önden Çekiş,,"6,7 lt",64 lt,"2 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden,15000,625.000 TL
23077823,30 Nisan 2024,Chevrolet,Captiva,2.0 D LT High,2010,210.000 km,Otomatik,Dizel,Crossover,Beyaz,1991 cc,150 hp,4WD (Sürekli),İkinci El,"8,7 lt",65 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,25000,715.000 TL
25241686,30 Nisan 2024,Chery,Tiggo,1.6 Acteco Forza,2010,265.000 km,Düz,LPG & Benzin,Crossover,Siyah,1597 cc,112 hp,Önden Çekiş,İkinci El,"7,6 lt",57 lt,3 değişen,,Sahibinden,8500,375.000 TL
24096524,30 Nisan 2024,Nissan,X-Trail,2.0 dCi LE Platinum,2010,208.000 km,Otomatik,Dizel,Crossover,Beyaz,1995 cc,150 hp,4WD (Sürekli),,"7,1 lt",65 lt,2 boyalı,Takasa Uygun,Galeriden,3500,856.000 TL
22459274,30 Nisan 2024,Peugeot,3008,1.6 VTI Premium,2010,170.000 km,Düz,Benzin,Crossover,Siyah,1598 cc,122 hp,Önden Çekiş,,"7,1 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,565.000 TL
23666680,30 Nisan 2024,Audi,Q5,2.0 TDI Quattro,2010,153.000 km,Otomatik,Dizel,-,Gri,1801 - 2000 cm3,151 - 175 HP,-,,,,Belirtilmemiş,Takasa Uygun,Galeriden,,1.270.000 TL
24999916,30 Nisan 2024,Nissan,Navara,2.5 D 4x4 LE,2010,237.000 km,Otomatik,Dizel,Hard top,Siyah,2488 cc,170 hp,4WD (Sürekli),İkinci El,"10,2 lt",80 lt,3 boyalı,Takasa Uygun,Galeriden,Agir hasarli,555.000 TL
25114840,30 Nisan 2024,Volkswagen,Tiguan,1.4 TSI Sport&Style,2010,104.000 km,Düz,Benzin,Crossover,Siyah,1390 cc,150 hp,Önden Çekiş,İkinci El,"6,7 lt",64 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,725.000 TL
25115368,30 Nisan 2024,Volvo,XC60,2.4 D5,2010,290.000 km,Otomatik,Dizel,Crossover,Beyaz,2400 cc,185 hp,4WD (Sürekli),İkinci El,"8,3 lt",70 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.045.000 TL
25112569,30 Nisan 2024,Isuzu,D-Max,2.5 4x2,2010,227.000 km,Düz,Dizel,Hard top,Gri,2499 cc,136 hp,Arkadan İtiş,İkinci El,"7,4 lt",76 lt,Belirtilmemiş,Takasa Uygun,Yetkili Bayiden,,555.900 TL
25116503,30 Nisan 2024,Isuzu,D-Max,2.5 4x2,2010,177.000 km,Düz,Dizel,Hard top,Gri (Gümüş),2499 cc,136 hp,Arkadan İtiş,İkinci El,"7,4 lt",76 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,625.000 TL
24459378,30 Nisan 2024,Toyota,RAV 4,2.0,2010,185.000 km,Otomatik,LPG & Benzin,Crossover,Siyah,1987 cc,158 hp,4WD (Sürekli),İkinci El,"7,6 lt",60 lt,1 boyalı,Takasa Uygun,Galeriden,,815.000 TL
24999516,30 Nisan 2024,BMW,X3,20d xDrive Comfort,2010,84.000 km,Otomatik,Dizel,Crossover,Gri,1995 cc,184 hp,4WD (Sürekli),İkinci El,"5,6 lt",67 lt,1 boyalı,Takasa Uygun Değil,Galeriden,,1.585.000 TL1.485.000 TL
25241333,29 Nisan 2024,Nissan,Qashqai,1.6 Tekna Pack,2010,157.000 km,Düz,Benzin,Crossover,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,7 lt",65 lt,5 boyalı,Takasa Uygun Değil,Galeriden,1960,647.500 TL
25240584,29 Nisan 2024,Volkswagen,Tiguan,1.4 TSI Sport&Style,2010,190.000 km,Düz,LPG & Benzin,Crossover,Siyah,1390 cc,150 hp,4WD (Sürekli),İkinci El,8 lt,64 lt,3 boyalı,Takasa Uygun Değil,Galeriden,0,765.000 TL
25237144,29 Nisan 2024,Nissan,Qashqai,1.6 Tekna,2010,238.000 km,Düz,LPG & Benzin,Crossover,Gri (Gümüş),1598 cc,115 hp,Önden Çekiş,İkinci El,"6,7 lt",65 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,15800,680.000 TL
25232188,29 Nisan 2024,Nissan,Qashqai,1.5 dCi Tekna Executive,2010,240.000 km,Düz,Dizel,Crossover,Siyah,1461 cc,106 hp,Önden Çekiş,İkinci El,"5,4 lt",65 lt,"1 değişen, 3 boyalı",,Sahibinden,,675.000 TL
24588449,29 Nisan 2024,Ford,Kuga,2.0 TDCi Titanium,2010,215.000 km,Yarı Otomatik,Dizel,Crossover,Bej,1997 cc,140 hp,4WD (Sürekli),İkinci El,"6,8 lt",58 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,5000,685.000 TL
25219148,29 Nisan 2024,Nissan,Qashqai,1.6 Tekna Pack,2010,160.200 km,Düz,LPG & Benzin,Crossover,Siyah,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,7 lt",65 lt,2 boyalı,,Sahibinden,,625.000 TL
25227181,29 Nisan 2024,Dacia,Duster,1.6 Ambiance,2010,143.000 km,Düz,Benzin,Crossover,Beyaz,1598 cc,105 hp,Önden Çekiş,İkinci El,"7,5 lt",50 lt,4 boyalı,Takasa Uygun,Sahibinden,,555.000 TL
23931158,29 Nisan 2024,BMW,X6,35d xDrive,2010,347.000 km,Otomatik,Dizel,Crossover,Beyaz,2993 cc,286 hp,4WD (Sürekli),İkinci El,"8,2 lt",85 lt,"1 değişen, 5 boyalı",Takasa Uygun,Galeriden,79762,1.329.000 TL
25226827,29 Nisan 2024,Volkswagen,Tiguan,1.4 TSI Sport&Style,2010,266.000 km,Düz,Benzin,Crossover,Gri,1390 cc,150 hp,4WD (Sürekli),İkinci El,8 lt,64 lt,2 boyalı,Takasa Uygun,Sahibinden,,630.000 TL
25226565,29 Nisan 2024,Chevrolet,Captiva,2.0 D LT High,2010,294.000 km,Otomatik,Dizel,Crossover,Beyaz,1991 cc,150 hp,4WD (Sürekli),İkinci El,"8,7 lt",65 lt,"1 değişen, 6 boyalı",,Sahibinden,20000,630.000 TL
25225631,29 Nisan 2024,Nissan,Qashqai,1.6 Tekna,2010,219.000 km,Düz,LPG & Benzin,Crossover,Beyaz,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,7 lt",65 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,210000,545.000 TL
25223085,29 Nisan 2024,Hyundai,ix35,2.0 R Style Plus,2010,66.000 km,Otomatik,Dizel,SUV,Gri (metalik),1801 - 2000 cm3,176 - 200 HP,4WD (Sürekli),İkinci El,,,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,,895.000 TL
25102462,29 Nisan 2024,Land Rover,Range Rover Sport,3.0 TDV6 HSE,2010,204.000 km,Otomatik,Dizel,Crossover,Beyaz,2993 cc,245 hp,4WD (Sürekli),İkinci El,"9,2 lt",84 lt,1 boyalı,Takasa Uygun,Galeriden,,1.650.000 TL
25099910,29 Nisan 2024,Nissan,Navara,2.5 D 4x2 SE,2010,320.000 km,Otomatik,Dizel,Hard top,Beyaz,2488 cc,144 hp,Arkadan İtiş,İkinci El,"9,9 lt",80 lt,1 değişen,Takasa Uygun,Galeriden,,525.000 TL
23088025,29 Nisan 2024,Land Rover,Discovery,3.0 TDV6 HSE,2010,315.000 km,Otomatik,Dizel,Crossover,Gri,2993 cc,245 hp,4WD (Sürekli),,"9,3 lt",82 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,1.399.000 TL
25102408,29 Nisan 2024,Dodge,Nitro,2.8 CRD SXT,2010,181.179 km,Otomatik,Dizel,Crossover,Siyah,2768 cc,177 hp,4WD (Sürekli),İkinci El,"9,4 lt",74 lt,Belirtilmemiş,Takasa Uygun Değil,Yetkili Bayiden,,780.000 TL
25105539,29 Nisan 2024,Volkswagen,Tiguan,1.4 TSI Fun&Function,2010,110.553 km,Düz,Benzin,Crossover,Beyaz,1390 cc,150 hp,4WD (Sürekli),İkinci El,8 lt,64 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,830.000 TL
25232576,28 Nisan 2024,BMW,X6,35d xDrive,2010,248.000 km,Otomatik,Dizel,Crossover,Beyaz,2993 cc,286 hp,4WD (Sürekli),İkinci El,"8,2 lt",85 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,1.750.000 TL
25220119,28 Nisan 2024,Kia,Sorento,2.5 CRDi X-Force Prestige,2010,113.000 km,Otomatik,Dizel,Crossover,Siyah,2497 cc,170 hp,4WD (Sürekli),İkinci El,"8,6 lt",80 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,,900.000 TL
25226793,28 Nisan 2024,Volkswagen,Tiguan,1.4 TSI Fun&Function,2010,214.000 km,Düz,Benzin,Crossover,Bej,1390 cc,150 hp,4WD (Sürekli),İkinci El,8 lt,64 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,,725.000 TL
25225951,28 Nisan 2024,Nissan,Qashqai,1.5 dCi Tekna Executive,2010,336.000 km,Düz,Dizel,Crossover,Siyah,1461 cc,106 hp,Önden Çekiş,İkinci El,"5,4 lt",65 lt,2 boyalı,Takasa Uygun,Galeriden,9000,575.000 TL
23944712,28 Nisan 2024,Chevrolet,Captiva,2.0 D LT High,2010,180.000 km,Otomatik,Dizel,Crossover,Beyaz,1991 cc,150 hp,4WD (Sürekli),İkinci El,"8,7 lt",65 lt,Tamamı orjinal,Takasa Uygun,Galeriden,,655.000 TL
20513131,28 Nisan 2024,Nissan,Qashqai,1.5 dCi Tekna,2010,213.000 km,Düz,Dizel,Crossover,Siyah,1461 cc,106 hp,Önden Çekiş,,"5,4 lt",65 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,,750.000 TL
25214202,27 Nisan 2024,Honda,CR-V,2.0i Elegance Lifestyle,2010,109.000 km,Otomatik,LPG & Benzin,Crossover,Füme,1997 cc,150 hp,4WD (Sürekli),İkinci El,"8,2 lt",58 lt,Belirtilmemiş,,Sahibinden,,1.075.000 TL
24980090,27 Nisan 2024,Hyundai,ix35,2.0 R Style,2010,305.000 km,Otomatik,Dizel,Crossover,Siyah,1995 cc,184 hp,4WD (Sürekli),İkinci El,"7,1 lt",58 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,720.000 TL
22724860,27 Nisan 2024,Nissan,Qashqai,1.5 dCi Tekna,2010,322.000 km,Düz,Dizel,Crossover,Siyah,1461 cc,106 hp,Önden Çekiş,,"5,4 lt",65 lt,"2 değişen, 4 boyalı",Takasa Uygun,Galeriden,,630.000 TL
25213397,26 Nisan 2024,Ssangyong,Actyon Sports,2.0 XDI 4X4,2010,405.000 km,Düz,Dizel,Hard top,Siyah,1998 cc,141 hp,4WD (Sürekli),İkinci El,8 lt,75 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,,300.000 TL
25024341,26 Nisan 2024,Nissan,Qashqai,1.6 Tekna Executive,2010,150.000 km,Düz,Benzin,Crossover,Gri,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,7 lt",65 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,672.000 TL
24970882,26 Nisan 2024,Isuzu,D-Max,2.5 4x2,2010,360.000 km,Düz,Dizel,Hard top,Gri (Gümüş),2499 cc,136 hp,Arkadan İtiş,İkinci El,"7,4 lt",76 lt,1 boyalı,Takasa Uygun,Galeriden,,605.000 TL
24495072,26 Nisan 2024,Chevrolet,Captiva,2.0 D LT High,2010,174.000 km,Otomatik,Dizel,Crossover,Beyaz,1991 cc,150 hp,4WD (Sürekli),İkinci El,"8,7 lt",65 lt,Tamamı orjinal,Takasa Uygun,Galeriden,3500,705.000 TL
24968724,26 Nisan 2024,Infiniti,FX,37 S,2010,90.000 km,Otomatik,LPG & Benzin,Crossover,Siyah,3696 cc,320 hp,4WD (Sürekli),İkinci El,12 lt,90 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,2.150.000 TL
24289058,25 Nisan 2024,Nissan,Qashqai,1.5 dCi Tekna,2010,352.000 km,Düz,Dizel,Crossover,Füme,1461 cc,110 hp,Önden Çekiş,İkinci El,"5,1 lt",65 lt,Tamamı orjinal,,Sahibinden,,550.000 TL
25201680,25 Nisan 2024,Honda,CR-V,2.0i Executive,2010,67.000 km,Otomatik,Benzin,Crossover,Gri,1997 cc,150 hp,4WD (Sürekli),İkinci El,"8,2 lt",58 lt,2 boyalı,,Sahibinden,,1.090.000 TL
24589273,25 Nisan 2024,Hyundai,ix35,2.0 R Style Plus,2010,340.000 km,Otomatik,Dizel,Crossover,Siyah,1995 cc,184 hp,4WD (Sürekli),İkinci El,"7,2 lt",58 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,635.000 TL
25200485,25 Nisan 2024,Subaru,Forester,2.0 Limited,2010,151.000 km,Düz,Benzin,Crossover,Beyaz,1994 cc,150 hp,4WD (Sürekli),İkinci El,"8,4 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,832.000 TL
25073079,25 Nisan 2024,Nissan,Qashqai,1.5 dCi Tekna Pack,2010,275.000 km,Düz,Dizel,Crossover,Gri (titanyum),1461 cc,110 hp,Önden Çekiş,İkinci El,"5,1 lt",65 lt,"2 değişen, 5 boyalı",Takasa Uygun,Galeriden,8000,629.900 TL
24964979,25 Nisan 2024,Nissan,Qashqai,2.0 dCi Platinum,2010,275.000 km,Otomatik,Dizel,Crossover,Beyaz,1995 cc,150 hp,4WD (Sürekli),İkinci El,"7,8 lt",65 lt,1 değişen,Takasa Uygun Değil,Galeriden,3500,650.000 TL
24587395,24 Nisan 2024,Volkswagen,Tiguan,2.0 TDI Fun&Function,2010,285.000 km,Otomatik,Dizel,Crossover,Siyah,1986 cc,140 hp,4WD (Sürekli),İkinci El,"6,4 lt",64 lt,5 boyalı,,Sahibinden,10000,750.000 TL
25195873,24 Nisan 2024,Suzuki,Jimny,1.3 JLX,2010,290.000 km,Düz,LPG & Benzin,Crossover,Siyah,1298 cc,86 hp,4WD (Sürekli),İkinci El,"7,2 lt",40 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,,475.000 TL
25187382,24 Nisan 2024,Nissan,Qashqai,1.5 dCi Tekna Pack,2010,112.000 km,Düz,Dizel,Crossover,Beyaz,1461 cc,110 hp,Önden Çekiş,İkinci El,"5,1 lt",65 lt,1 değişen,,Sahibinden,,800.000 TL
25185230,24 Nisan 2024,Chevrolet,Captiva,2.0 D LT High,2010,151.000 km,Otomatik,Dizel,Crossover,Beyaz,1991 cc,150 hp,4WD (Sürekli),İkinci El,"8,7 lt",65 lt,Tamamı orjinal,,Sahibinden,,805.000 TL
25181944,24 Nisan 2024,Chevrolet,Captiva,2.0 D LT High,2010,280.000 km,Otomatik,Dizel,Crossover,Beyaz,1991 cc,150 hp,4WD (Sürekli),İkinci El,"8,7 lt",65 lt,2 boyalı,,Sahibinden,,595.000 TL
24595616,24 Nisan 2024,Land Rover,Range Rover Sport,3.0 TDV6 HSE,2010,240.313 km,Otomatik,Dizel,Crossover,Siyah,2993 cc,245 hp,4WD (Sürekli),İkinci El,"9,2 lt",84 lt,"2 değişen, 1 boyalı",Takasa Uygun,Galeriden,45451,1.500.000 TL
25177341,24 Nisan 2024,Chevrolet,Captiva,2.0 D LT High,2010,225.000 km,Otomatik,Dizel,Crossover,Siyah,1991 cc,150 hp,4WD (Sürekli),İkinci El,"8,7 lt",65 lt,5 boyalı,,Sahibinden,,589.000 TL
23339103,24 Nisan 2024,Land Rover,Discovery,3.0 TDV6 SE,2010,426.000 km,Otomatik,Dizel,Crossover,Siyah,2993 cc,245 hp,4WD (Sürekli),,"9,3 lt",82 lt,4 boyalı,Takasa Uygun Değil,Galeriden,37000,1.180.000 TL
24598087,24 Nisan 2024,Peugeot,3008,1.6 VTI Premium,2010,128.500 km,Düz,LPG & Benzin,Crossover,Gri (metalik),1598 cc,122 hp,Önden Çekiş,İkinci El,"7,1 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,2300,585.000 TL
24597687,24 Nisan 2024,BMW,X6,35d xDrive,2010,189.000 km,Otomatik,Dizel,Crossover,Gri,2993 cc,286 hp,4WD (Sürekli),İkinci El,"8,2 lt",85 lt,3 boyalı,Takasa Uygun Değil,Galeriden,,2.000.000 TL
21597145,24 Nisan 2024,Mercedes - Benz,GL,320 CDI,2010,319.820 km,Otomatik,Dizel,Crossover,Gri (Gümüş),2987 cc,224 hp,4WD (Sürekli),,10 lt,100 lt,Belirtilmemiş,Takasa Uygun,Galeriden,,1.875.000 TL
24565757,23 Nisan 2024,Chevrolet,Captiva,2.0 D LT High,2010,332.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1991 cc,150 hp,4WD (Sürekli),İkinci El,"7,4 lt",65 lt,3 boyalı,,Sahibinden,,705.000 TL655.000 TL
25174355,23 Nisan 2024,Ssangyong,Actyon,2.0 XDI Standart,2010,240.000 km,Düz,Dizel,Crossover,Beyaz,1998 cc,141 hp,Arkadan İtiş,İkinci El,"8,5 lt",75 lt,Belirtilmemiş,,Sahibinden,,340.000 TL
23584330,23 Nisan 2024,Audi,Q5,2.0 TDI Quattro,2010,260.000 km,Yarı Otomatik,Dizel,Crossover,Beyaz,1968 cc,170 hp,4WD (Sürekli),,"6,7 lt",75 lt,"3 değişen, 9 boyalı",Takasa Uygun,Galeriden,32000,937.750 TL
25180967,23 Nisan 2024,Nissan,Navara,2.5 D 4x2 LE,2010,345.000 km,Otomatik,Dizel,Hard top,Siyah,2488 cc,144 hp,Arkadan İtiş,İkinci El,"9,9 lt",80 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,,550.000 TL
24582598,23 Nisan 2024,Nissan,Qashqai,1.6 Tekna Executive,2010,150.000 km,Düz,Benzin,Crossover,Siyah,1598 cc,115 hp,Önden Çekiş,İkinci El,"6,7 lt",65 lt,"1 değişen, 2 boyalı",,Sahibinden,,580.000 TL
25172461,23 Nisan 2024,BMW,X6,30d xDrive,2010,277.000 km,Otomatik,Dizel,Crossover,Beyaz,2993 cc,235 hp,4WD (Sürekli),İkinci El,"8,2 lt",85 lt,Tamamı orjinal,,Sahibinden,,1.500.000 TL
25060882,23 Nisan 2024,Hyundai,ix35,2.0 R Style Plus,2010,199.563 km,Otomatik,Dizel,Crossover,Siyah,1995 cc,184 hp,4WD (Sürekli),İkinci El,"7,2 lt",58 lt,1 boyalı,Takasa Uygun,Yetkili Bayiden,,740.000 TL
24599341,23 Nisan 2024,Porsche,Cayenne,3.0 V6,2010,244.044 km,Otomatik,Dizel,SUV,Beyaz,2967 cc,240 hp,AWD (Elektronik),İkinci El,,,"1 değişen, 2 boyalı",Takasa Uygun Değil,Galeriden,,1.615.000 TL
